               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.091795,            0.052468,             0.03944,             0.45964,             0.32061,              0.2238,            0.072769,            0.067474,            0.033154,            0.025573,            0.070385,           0.0032906,           0.0032906
                   1,            0.063531,            0.041058,            0.023567,             0.56818,             0.48118,             0.40936,             0.17465,            0.056689,             0.02305,            0.014006,            0.040253,           0.0064928,           0.0064928
                   2,             0.06241,            0.036283,            0.016723,             0.60513,             0.41276,             0.43473,              0.1824,            0.057192,            0.021492,            0.010694,           0.0099903,            0.009563,            0.009563
                   3,            0.055152,             0.03533,            0.013975,             0.65794,             0.57822,             0.59434,             0.26366,            0.047912,            0.023122,            0.009249,            0.009406,            0.009406,            0.009406
                   4,            0.047799,            0.032968,            0.011303,             0.67861,              0.6998,              0.7493,             0.36768,            0.040966,             0.02124,           0.0074954,            0.009406,            0.009406,            0.009406
                   5,            0.044134,            0.032475,            0.010243,             0.82788,             0.75646,             0.83179,             0.37775,            0.041488,            0.021543,           0.0065457,            0.009208,            0.009208,            0.009208
                   6,            0.042088,            0.032677,           0.0092433,             0.78734,             0.78648,             0.81578,             0.44318,            0.036073,            0.020846,           0.0064206,             0.00901,             0.00901,             0.00901
                   7,            0.040911,            0.033542,            0.007952,             0.80653,             0.78298,             0.84733,             0.44589,            0.037981,            0.020037,           0.0059358,            0.008812,            0.008812,            0.008812
                   8,            0.038467,            0.031531,           0.0072047,             0.84096,             0.79049,             0.85065,             0.48233,            0.035512,            0.019716,           0.0052173,            0.008614,            0.008614,            0.008614
                   9,             0.03777,            0.030652,           0.0065753,             0.79136,             0.82153,             0.86706,             0.47562,            0.036593,            0.020552,           0.0051938,            0.008416,            0.008416,            0.008416
                  10,             0.03693,            0.031845,           0.0066737,             0.84132,             0.80502,             0.87758,             0.50452,            0.032136,            0.019734,           0.0052785,            0.008218,            0.008218,            0.008218
                  11,            0.035635,            0.031719,           0.0062154,              0.8332,             0.81989,             0.88294,             0.52865,            0.031914,            0.019489,           0.0045319,             0.00802,             0.00802,             0.00802
                  12,            0.034835,            0.029849,           0.0060227,             0.77966,             0.86697,             0.89797,             0.52878,            0.031091,            0.019421,            0.005503,            0.007822,            0.007822,            0.007822
                  13,            0.035022,            0.030884,           0.0057051,             0.84371,             0.85072,             0.89009,             0.55403,            0.029653,            0.019406,           0.0053114,            0.007624,            0.007624,            0.007624
                  14,            0.034037,            0.029625,           0.0052474,             0.81694,             0.85895,             0.89769,             0.54275,            0.030538,            0.019666,           0.0046382,            0.007426,            0.007426,            0.007426
                  15,            0.033554,            0.030396,            0.005538,             0.82403,             0.84753,             0.89583,             0.55017,            0.029718,            0.019471,           0.0038516,            0.007228,            0.007228,            0.007228
                  16,            0.033047,            0.029283,           0.0051228,             0.83546,             0.84029,             0.89668,             0.55168,            0.029951,            0.018954,           0.0039948,             0.00703,             0.00703,             0.00703
                  17,            0.032633,            0.029696,           0.0050489,             0.82573,              0.8623,             0.91577,             0.57638,            0.028476,            0.019331,           0.0031483,            0.006832,            0.006832,            0.006832
                  18,            0.031607,            0.029431,           0.0051359,              0.8149,             0.86762,             0.89462,             0.55119,            0.030784,            0.019117,           0.0033264,            0.006634,            0.006634,            0.006634
                  19,            0.031677,            0.029923,           0.0044954,             0.84511,             0.89379,             0.92779,              0.5788,            0.028569,            0.019131,           0.0029731,            0.006436,            0.006436,            0.006436
                  20,            0.030981,            0.028738,           0.0045466,             0.85693,             0.85322,             0.92249,             0.57294,             0.02944,            0.018855,           0.0035095,            0.006238,            0.006238,            0.006238
                  21,            0.030645,            0.028634,           0.0043537,             0.82716,             0.87161,             0.91846,              0.5808,            0.028412,            0.019094,            0.003243,             0.00604,             0.00604,             0.00604
                  22,            0.029989,            0.027807,           0.0036698,             0.85738,             0.85534,              0.9186,             0.57799,            0.028578,            0.019282,           0.0032252,            0.005842,            0.005842,            0.005842
                  23,            0.029912,            0.028647,            0.003754,             0.84445,             0.90031,              0.9329,             0.59684,             0.02814,            0.019075,           0.0025928,            0.005644,            0.005644,            0.005644
                  24,            0.029374,            0.028109,           0.0039958,             0.86973,             0.86524,             0.93051,              0.5774,            0.028109,            0.018915,           0.0031841,            0.005446,            0.005446,            0.005446
                  25,            0.029171,            0.028396,           0.0038526,             0.87418,             0.86931,             0.92617,             0.59695,            0.027775,            0.018903,           0.0029409,            0.005248,            0.005248,            0.005248
                  26,            0.028366,             0.02704,           0.0037104,             0.85883,             0.86939,              0.9244,             0.58918,            0.027648,            0.019043,           0.0032813,             0.00505,             0.00505,             0.00505
                  27,            0.028719,            0.027399,           0.0035141,             0.87993,             0.89312,             0.93278,             0.59645,            0.027658,            0.018328,           0.0028522,            0.004852,            0.004852,            0.004852
                  28,            0.028327,            0.026873,           0.0030563,             0.86945,             0.86658,             0.93021,             0.60664,            0.027265,            0.018562,           0.0033843,            0.004654,            0.004654,            0.004654
                  29,            0.028057,            0.026761,           0.0030973,              0.8343,             0.87728,             0.92009,             0.60269,            0.026914,            0.019165,           0.0029848,            0.004456,            0.004456,            0.004456
                  30,            0.027725,            0.026912,           0.0028543,             0.85611,             0.87966,             0.92994,             0.60699,            0.027287,            0.018626,           0.0029903,            0.004258,            0.004258,            0.004258
                  31,             0.02739,            0.026903,           0.0029446,             0.86874,             0.84854,              0.9167,             0.60743,            0.027205,            0.018876,            0.003315,             0.00406,             0.00406,             0.00406
                  32,            0.027013,            0.026478,           0.0032075,              0.8467,             0.87778,             0.91875,             0.60823,            0.026673,            0.018619,           0.0031539,            0.003862,            0.003862,            0.003862
                  33,            0.026859,            0.026948,           0.0028338,             0.85445,             0.85882,             0.92339,             0.60658,             0.02671,            0.018938,           0.0034428,            0.003664,            0.003664,            0.003664
                  34,            0.026865,            0.025532,           0.0025952,             0.85396,             0.88416,             0.93356,             0.61968,            0.025945,            0.018576,           0.0026192,            0.003466,            0.003466,            0.003466
                  35,            0.026553,            0.026867,            0.002695,             0.85374,             0.88746,             0.92684,             0.61428,            0.026244,            0.018284,           0.0029373,            0.003268,            0.003268,            0.003268
                  36,            0.025995,            0.025063,           0.0028619,             0.85391,             0.88723,             0.93432,             0.62014,            0.026136,            0.018227,            0.002607,             0.00307,             0.00307,             0.00307
                  37,            0.026103,            0.026127,           0.0027412,             0.86316,             0.87774,             0.93956,             0.62146,              0.0261,            0.018158,           0.0030544,            0.002872,            0.002872,            0.002872
                  38,             0.02566,            0.026303,           0.0024908,             0.87958,             0.89783,             0.94146,              0.6208,             0.02625,            0.018488,           0.0027869,            0.002674,            0.002674,            0.002674
                  39,            0.025527,            0.026088,           0.0025277,             0.86701,              0.8988,              0.9356,             0.62048,            0.026306,             0.01838,           0.0024935,            0.002476,            0.002476,            0.002476
                  40,             0.02514,            0.025144,           0.0020108,             0.86787,             0.89792,             0.94331,             0.63347,            0.026118,            0.018303,           0.0023781,            0.002278,            0.002278,            0.002278
