               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.098432,            0.038584,            0.034733,             0.37449,             0.25471,             0.17321,            0.065128,            0.065546,             0.02768,             0.02445,            0.067371,          0.00066589,          0.00066589
                   1,            0.067154,            0.040119,            0.022444,             0.75758,             0.30784,             0.33461,             0.14708,            0.052829,             0.02649,            0.017352,            0.034678,           0.0013062,           0.0013062
                   2,            0.060517,            0.039698,            0.018366,             0.81599,              0.3597,             0.41842,             0.20096,            0.048153,            0.025526,            0.013998,            0.001959,           0.0019201,           0.0019201
                   3,            0.057225,            0.038936,            0.015746,             0.72211,             0.46681,             0.51354,             0.25934,            0.045582,            0.024878,            0.012308,           0.0018812,           0.0018812,           0.0018812
                   4,             0.05512,            0.038158,            0.013902,             0.63288,             0.59314,             0.63606,             0.32009,            0.044579,            0.024409,            0.011111,           0.0018812,           0.0018812,           0.0018812
                   5,            0.053348,            0.037689,            0.012729,             0.72703,             0.61498,             0.67147,             0.34075,            0.043544,             0.02412,           0.0098921,           0.0018416,           0.0018416,           0.0018416
                   6,            0.052235,            0.037022,            0.011731,             0.75649,             0.64262,             0.70283,             0.36382,            0.043053,            0.023877,           0.0086609,            0.001802,            0.001802,            0.001802
                   7,            0.051175,            0.037004,            0.011015,             0.75582,             0.66456,             0.72471,             0.38328,            0.042113,             0.02368,           0.0082196,           0.0017624,           0.0017624,           0.0017624
                   8,            0.050413,            0.036667,            0.010458,             0.77741,               0.677,             0.74939,             0.40103,            0.041525,            0.023499,           0.0079104,           0.0017228,           0.0017228,           0.0017228
                   9,            0.050099,            0.036381,            0.010188,             0.78348,             0.68435,             0.75593,             0.40882,            0.041213,            0.023352,           0.0074278,           0.0016832,           0.0016832,           0.0016832
                  10,             0.04941,             0.03623,           0.0097777,             0.79251,             0.69702,             0.76856,             0.40873,            0.040761,            0.023273,           0.0071978,           0.0016436,           0.0016436,           0.0016436
                  11,            0.049041,            0.036103,           0.0094283,             0.80302,             0.70382,             0.78102,             0.42397,            0.040468,            0.023078,           0.0068265,            0.001604,            0.001604,            0.001604
                  12,            0.048712,            0.036122,           0.0089986,             0.79463,             0.71163,             0.78358,             0.42094,            0.040162,            0.023075,           0.0068049,           0.0015644,           0.0015644,           0.0015644
                  13,            0.048135,            0.035793,           0.0088176,             0.81949,             0.70807,             0.79332,             0.43916,            0.039917,            0.022945,           0.0066443,           0.0015248,           0.0015248,           0.0015248
                  14,            0.047824,             0.03572,           0.0086394,             0.81393,              0.7236,             0.79782,             0.44001,            0.039858,              0.0229,           0.0065375,           0.0014852,           0.0014852,           0.0014852
                  15,            0.047653,            0.035437,           0.0084035,             0.81609,             0.72392,             0.79777,             0.44631,            0.039522,            0.022782,           0.0065014,           0.0014456,           0.0014456,           0.0014456
